 ,"90","POST TRANSPLANT CLINIC","HOME OFFICE COST","43624","44367","-743", , , , , , , , , , , , , 
 ,"90","CMC SURGERY","HOME OFFICE COST","354952","374151","-19199", , , , , , , , , , , , , 
 ,"90","CMC ORTHOPEDICS","HOME OFFICE COST","96692","91521","5171", , , , , , , , , , , , , 
 ,"90","INFUSION CENTER","HOME OFFICE COST","1932296","1689430","242866", , , , , , , , , , , , , 
 ,"90","PEDIATRIC ONCOLOGY","HOME OFFICE COST","535682","585137","-49455", , , , , , , , , , , , , 
 ,"90","NEUROMUSCULAR (ALS) CENTER","HOME OFFICE COST","125900","107733","18167", , , , , , , , , , , , , 
 ,"90","CHF CLINIC","HOME OFFICE COST","25092","23356","1736", , , , , , , , , , , , , 
 ,"90","NEUROSCIENCE CLINIC","HOME OFFICE COST","628614","689403","-60789", , , , , , , , , , , , , 
 ,"90","PAIN MANAGEMENT","HOME OFFICE COST","699294","728512","-29218", , , , , , , , , , , , , 
 ,"90","SLEEP LAB","HOME OFFICE COST","60721","67723","-7002", , , , , , , , , , , , , 
 ,"90","WOUND CARE","HOME OFFICE COST","35921","40346","-4425", , , , , , , , , , , , , 
 ,"90","LIVER CLINIC","HOME OFFICE COST","266455","303293","-36838", , , , , , , , , , , , , 
 ,"91","EMERGENCY","HOME OFFICE COST","639957","562657","77300", , , , , , , , , , , , , 
 ,"91","EMERGENCY-SUBPROVIDER","HOME OFFICE COST","171475","157153","14322", , , , , , , , , , , , , 
 ,"91","EMERGENCY-PEDIATRIC","HOME OFFICE COST","7889","6221","1668", , , , , , , , , , , , , 
 ,"91","EMERGENCY-MERCY","HOME OFFICE COST","32351","27524","4827", , , , , , , , , , , , , 
 ,"92","OBSERVATION BEDS (DISTINCT PART)","HOME OFFICE COST","29633","19906","9727", , , , , , , , , , , , , 
 ,"92","OBSERVATION BEDS (PSYCH)","HOME OFFICE COST","5519","3729","1790", , , , , , , , , , , , , 
 ,"95","AMBULANCE SERVICES","HOME OFFICE COST","871996","757984","114012", , , , , , , , , , , , , 
 ,"105","KIDNEY ACQUISITION","HOME OFFICE COST","858211","959523","-101312", , , , , , , , , , , , , 
 ,"106","HEART ACQUISITION","HOME OFFICE COST","1561","1374","187", , , , , , , , , , , , , 
 ,"107","LIVER ACQUISITION","HOME OFFICE COST","4390","4206","184", , , , , , , , , , , , , 
 ,"190","GIFT  FLOWER  COFFEE SHOP & CANTEEN","HOME OFFICE COST","39801","45954","-6153", , , , , , , , , , , , , 
 ,"191","RESEARCH","HOME OFFICE COST","1465161","1635445","-170284", , , , , , , , , , , , , 
 ,"192","PHYSICIANS PRIVATE OFFICES","HOME OFFICE COST","1918643","2136191","-217548", , , , , , , , , , , , , 
 ,"192","WOMENS INST BALLANTYNE","HOME OFFICE COST","26039","29398","-3359", , , , , , , , , , , , , 
 ,"194","CAROLINAS REHABILITATION","HOME OFFICE COST","17325","16722","603", , , , , , , , , , , , , 
 ,"194","UNIVERSITY HOSPITAL","HOME OFFICE COST","106209","113888","-7679", , , , , , , , , , , , , 
 ,"194","OTHER NONREIMBURSABLE COST CENTERS","HOME OFFICE COST","281673","299719","-18046", , , , , , , , , , , , , 
 ,"194","MERCY HOSPITAL SOUTH","HOME OFFICE COST","6383","6397","-14", , , , , , , , , , , , , 
 ,"194","UNION REGIONAL MEDICAL CENTER","HOME OFFICE COST","10917","10982","-65", , , , , , , , , , , , , 
 ,"194","DISASTER RELIEF","HOME OFFICE COST","55594","36503","19091", , , , , , , , , , , , , 
 ,"194","UNDERGRAD MEDED","HOME OFFICE COST","12706","13238","-532", , , , , , , , , , , , , 
 ,"194","OTHER NONREIMBURSABLE COST CENTERS","HOME OFFICE COST","94015","104834","-10819", , , , , , , , , , , , , 
 ,"194","LINCOLN HOSPITAL","HOME OFFICE COST","10156","10237","-81", , , , , , , , , , , , , 
 , , , ,"253309272","233075744","20233528", , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A820010 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","","","",""," FROM ____________","","","", , , , , , , , , 
"","","","",""," ________________",""," TO _______________","","","", , , , , , , , , 
"","","Cost Center/","","","","","Physician/","","5 Percent of","", , , , , , , , , 
"","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted","", , , , , , , , , 
"","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit","", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","", , , , , , , , , 
 ,"Entity[572851] Report(A820010[00100])","Entity[572851] Report(A820010[00200])","Entity[572851] Report(A820010[00300])","Entity[572851] Report(A820010[00400])","Entity[572851] Report(A820010[00500])","Entity[572851] Report(A820010[00600])","Entity[572851] Report(A820010[00700])","Entity[572851] Report(A820010[00800])","Entity[572851] Report(A820010[00900])", , , , , , ,"Entity[572851] Report(A820010[01600])","Entity[572851] Report(A820010[01700])","Entity[572851] Report(A820010[01800])", 
 ,"5","ADMINISTRATIVE & GENERAL","960190","960190", ,"177200", , , , , , , , , , , ,"960190", 
 ,"192","PHYSICIANS PRIVATE OFFICES","46820","46820", ,"177200", , , , , , , , , , , ,"46820", 
 ,"90","CLINIC - MYERS PARK","23800","23800", ,"165600", , , , , , , , , , , ,"23800", 
 ,"90","CLINIC - DENTISTRY","238200","238200", ,"177200", , , , , , , , , , , ,"238200", 
 ,"90","CLINIC - MYERS PARK","169115","169115", ,"208000", , , , , , , , , , , ,"169115", 
 ,"90","CLINIC - MYERS PARK","94732","90703","4029","165600","18","1433","72", , , , , , ,"1433","2596","93299", 
 ,"90","CLINIC - DENTISTRY","103339","103339", ,"177200", , , , , , , , , , , ,"103339", 
 ,"91","EMERGENCY","140980","140980", ,"177200", , , , , , , , , , , ,"140980", 
 ,"90","CLINIC - MYERS PARK","44075","39462","4613","138700","35","2334","117", , , , , , ,"2334","2279","41741", 
 ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","55930", ,"55930","177200","658","56057","2803", , , , , , ,"56057", , , 
 ,"90","CLINIC - MYERS PARK","107100","107100", ,"177200", , , , , , , , , , , ,"107100", 
 ,"90","CLINIC - MYERS PARK","26363","26363", ,"177200", , , , , , , , , , , ,"26363", 
 ,"90","POST TRANSPLANT CLINIC","62895","62895", ,"196400", , , , , , , , , , , ,"62895", 
 ,"90","CLINIC - MYERS PARK","5750","5750", ,"165600", , , , , , , , , , , ,"5750", 
 ,"90","CLINIC - MYERS PARK","37981","37981", ,"165600", , , , , , , , , , , ,"37981", 
 ,"105","KIDNEY ACQUISITION","353060","353060", ,"208000", , , , , , , , , , , ,"353060", 
 ,"5","ADMINISTRATIVE & GENERAL","61020","9558","51462","177200","191","16272","814", , , , , , ,"16272","35190","44748", 
 ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","32340","32340", ,"177200", , , , , , , , , , , ,"32340", 
 ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","160271","105664","54607","177200","352","29988","1499", , , , , , ,"29988","24619","130283", 
 ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","497277","112308","384969","177200","1428","121655","6083", , , , , , ,"121655","263314","375622", 
 ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","17123","9923","7200","177200","48","4089","204", , , , , , ,"4089","3111","13034", 
 ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","404481","404481", ,"177200", , , , , , , , , , , ,"404481", 
 ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","12294","12294", ,"177200", , , , , , , , , , , ,"12294", 
 ,"31","NEONATAL INTENSIVE CARE UNIT","93600","93600", ,"177200", , , , , , , , , , , ,"93600", 
 ,"5","ADMINISTRATIVE & GENERAL","4317","1450","2867","177200","23","1959","98", , , , , , ,"1959","908","2358", 
 ,"30","ADULTS & PEDIATRICS","68965","68965", ,"140600", , , , , , , , , , , ,"68965", 
 ,"107","LIVER ACQUISITION","274814","274814", ,"208000", , , , , , , , , , , ,"274814", 
 ,"91","EMERGENCY","3735452","3678075","57377","177200","157","13375","669", , , , , , ,"13375","44002","3722077", 
 ,"5","ADMINISTRATIVE & GENERAL","704404","627655","76749","177200","384","32714","1636", , , , , , ,"32714","44035","671690", 
 ,"50","BONE MARROW TRANSPLANT","140","140", ,"208000", , , , , , , , , , , ,"140", 
 ,"50","OPERATING ROOM","26764","8483","18281","177200","94","8008","400", , , , , , ,"8008","10273","18756", 
 ,"5","ADMINISTRATIVE & GENERAL","33333","4166","29167","177200","80","6815","341", , , , , , ,"6815","22352","26518", 
 ,"191","RESEARCH","213263","34380","178883","177200","797","67898","3395", , , , , , ,"67898","110985","145365", 
 ,"90","CLINIC - ONCOLOGY","26375","26375", ,"177200", , , , , , , , , , , ,"26375", 
 ,"77","CARDIAC REHABILITATION","1340","1340", ,"177200", , , , , , , , , , , ,"1340", 
 ,"90","CLINIC - ONCOLOGY","89550","57723","31827","177200","202","17209","860", , , , , , ,"17209","14618","72341", 
 ,"69","ELECTROCARDIOLOGY","206646","206646", ,"177200", , , , , , , , , , , ,"206646", 
 ,"90","INFUSION CENTER","63250","63250", ,"177200", , , , , , , , , , , ,"63250", 
 ,"74","RENAL DIALYSIS","119700","119700", ,"177200", , , , , , , , , , , ,"119700", 
 ,"5","ADMINISTRATIVE & GENERAL","365004","365004", ,"177200", , , , , , , , , , , ,"365004", 
 ,"90","PAIN MANAGEMENT","3750","3750", ,"177200", , , , , , , , , , , ,"3750", 
 ,"65","RESPIRATORY THERAPY","990","990", ,"177200", , , , , , , , , , , ,"990", 
 ,"90","MENTAL HEALTH O/P CLINIC","20351","20351", ,"154100", , , , , , , , , , , ,"20351", 
 ,"90","MENTAL HEALTH O/P CLINIC","162291","162291", ,"154100", , , , , , , , , , , ,"162291", 
 ,"91","EMERGENCY-SUBPROVIDER","5702","5702", ,"177200", , , , , , , , , , , ,"5702", 
 ,"5","ADMINISTRATIVE & GENERAL","64782","14086","50696","177200","296","25217","1261", , , , , , ,"25217","25479","39565", 
 ,"69","ELECTROCARDIOLOGY","13455","13455", ,"177200", , , , , , , , , , , ,"13455", 
 ,"30","ADULTS & PEDIATRICS","39627", ,"39627","177200","333","28369","1418", , , , , , ,"28369","11258","11258", 
 ,"74","RENAL DIALYSIS","3800","380","3420","177200","18","1533","77", , , , , , ,"1533","1887","2267", 
 ,"60","LABORATORY","6263","6263", ,"177200", , , , , , , , , , , ,"6263", 
 ,"50","OPERATING ROOM","10000", ,"10000","208000","133","13300","665", , , , , , ,"13300", , , 
 ,"90","PAIN MANAGEMENT","750","750", ,"177200", , , , , , , , , , , ,"750", 
 ,"65","RESPIRATORY THERAPY","848","848", ,"177200", , , , , , , , , , , ,"848", 
 ,"90","SLEEP LAB","2574","2574", ,"177200", , , , , , , , , , , ,"2574", 
 ,"90","WOUND CARE","7203","1176","6027","177200","41","3493","175", , , , , , ,"3493","2534","3710", 
 ,"90","CMC SURGERY","275414","275414", ,"208000", , , , , , , , , , , ,"275414", 
 ,"5","ADMINISTRATIVE & GENERAL","1260","592","668","177200","2973","253277","12664", , , , , , ,"253277", ,"592", 
 ,"5","ADMINISTRATIVE & GENERAL","500340","500340", ,"177200", , , , , , , , , , , ,"500340", 
 ,"90","MENTAL HEALTH O/P CLINIC","3894232","3183516","710716","154100","1863","138023","6901", , , , , , ,"138023","572693","3756209", 
 ,"192","PHYSICIANS PRIVATE OFFICES","297256","297256", ,"154100", , , , , , , , , , , ,"297256", 
 ,"192","PHYSICIANS PRIVATE OFFICES","159831","159831", ,"154100", , , , , , , , , , , ,"159831", 
 ,"90","MENTAL HEALTH O/P CLINIC","83988","83988", ,"154100", , , , , , , , , , , ,"83988", 
 ,"191","RESEARCH","65517","65517", ,"177200", , , , , , , , , , , ,"65517", 
 ,"77","CARDIAC REHABILITATION","19057","19057", ,"177200", , , , , , , , , , , ,"19057", 
 ,"192","PHYSICIANS PRIVATE OFFICES","1344195","1344195", ,"177200", , , , , , , , , , , ,"1344195", 
 ,"90","MENTAL HEALTH O/P CLINIC","2454633","1972632","482001","154100","3494","258858","12943", , , , , , ,"258858","223143","2195775", 
 ,"90","CLINIC - CHILD OP RESP CTR","5815788","3764225","2051563","140600","17279","1167994","58400", , , , , , ,"1167994","883569","4647794", 
 ,"90","CLINIC","1877717","1343812","533905","177200","4077","347329","17366", , , , , , ,"347329","186576","1530388", 
 ,"90","CLINIC - MYERS PARK","136224","114338","21886","165600","592","47132","2357", , , , , , ,"47132", ,"114338", 
 ,"90","CLINIC - MYERS PARK","2229508","1258589","970919","165600","4999","397997","19900", , , , , , ,"397997","572922","1831511", 
 ,"90","CLINIC - NORTHPARK","1664554","1664554", ,"177200", , , , , , , , , , , ,"1664554", 
 ,"90","CLINIC - NORTHPARK","741514","741514", ,"196400", , , , , , , , , , , ,"741514", 
 ,"192","PHYSICIANS PRIVATE OFFICES","455669","455669", ,"208000", , , , , , , , , , , ,"455669", 
 ,"41","SUBPROVIDER - IRF","67195","67195", ,"177200", , , , , , , , , , , ,"67195", 
 ,"90","CLINIC - DENTISTRY","583097","200844","382253","177200","2678","228145","11407", , , , , , ,"228145","154108","354952", 
 ,"91","EMERGENCY","12439652","4427864","8011788","177200","50542","4305790","215290", , , , , , ,"4305790","3705998","8133862", 
 ,"90","CLINIC - MYERS PARK","4124952","1357933","2767019","138700","23786","1586115","79306", , , , , , ,"1586115","1180904","2538837", 
 ,"90","CLINIC - MYERS PARK","5960373","1743517","4216856","165600","26350","2097865","104893", , , , , , ,"2097865","2118991","3862508", 
 ,"91","EMERGENCY-SUBPROVIDER","953825","901366","52459","177200","137","11671","584", , , , , , ,"11671","40788","942154", 
 ,"31","NEONATAL INTENSIVE CARE UNIT","6430994","4154461","2276533","196400","8709","822331","41117", , , , , , ,"822331","1454202","5608663", 
 ,"90","NEUROSCIENCE CLINIC","5153051","4126196","1026855","177200","6448","549320","27466", , , , , , ,"549320","477535","4603731", 
 ,"90","CLINIC - MYERS PARK","2838836","821538","2017298","140600","26905","1818674","90934", , , , , , ,"1818674","198624","1020162", 
 ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","3749186","3492162","257024","177200","699","59549","2977", , , , , , ,"59549","197475","3689637", 
 ,"192","PHYSICIANS PRIVATE OFFICES","2780791","2704541","76250","208000","338","33800","1690", , , , , , ,"33800","42450","2746991", 
 ,"90","CLINIC - MYERS PARK","175758","175758", ,"177200","52","4430","222", , , , , , ,"4430", ,"175758", 
 ,"90","CMC ORTHOPEDICS","1462859","1086868","375991","177200","819","69773","3489", , , , , , ,"69773","306218","1393086", 
 ,"91","EMERGENCY-SUBPROVIDER","4701776","4680046","21730","154100","98","7260","363", , , , , , ,"7260","14470","4694516", 
 ,"90","CLINIC - MYERS PARK","2291730","877737","1413993","196400","7317","690894","34545", , , , , , ,"690894","723099","1600836", 
 ,"90","CMC SURGERY","4577501","3798546","778955","208000","2135","213500","10675", , , , , , ,"213500","565455","4364001", 
 ,"90","CLINIC - ONCOLOGY","2794240","1869873","924367","196400","4839","456913","22846", , , , , , ,"456913","467454","2337327", 
 ,"90","POST TRANSPLANT CLINIC","1547048","999912","547136","165600","3094","246330","12317", , , , , , ,"246330","300806","1300718", 
 ,"90","CMC SURGERY","2380129","2380129", ,"208000", , , , , , , , , , , ,"2380129", 
 ,"31","INTENSIVE CARE UNIT","4576215","3465668","1110547","165600","3803","302777","15139", , , , , , ,"302777","807770","4273438", 
 ,"31","INTENSIVE CARE UNIT","907776","846404","61372","165600","289","23009","1150", , , , , , ,"23009","38363","884767", 
 ,"90","CLINIC - MYERS PARK","1748966","979793","769173","165600","5340","425146","21257", , , , , , ,"425146","344027","1323820", 
 ,"90","CLINIC - MYERS PARK","1408589","701737","706852","165600","5450","433904","21695", , , , , , ,"433904","272948","974685", 
 ,"5","ADMINISTRATIVE & GENERAL","314975","314975", ,"177200", , , , , , , , , , , ,"314975", 
 ,"90","CLINIC - MYERS PARK","349559","349559", ,"196400", , , , , , , , , , , ,"349559", 
 ,"90","WOMENS INSTITUTE","3389043","2518928","870115","196400","2737","258436","12922", , , , , , ,"258436","611679","3130607", 
 ,"192","PHYSICIANS PRIVATE OFFICES","1694027","1430696","263331","177200","1310","111602","5580", , , , , , ,"111602","151729","1582425", 
 ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","81894","81894", ,"177200", , , , , , , , , , , ,"81894", 
 ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","1512","1512", ,"177200", , , , , , , , , , , ,"1512", 
 ,"192","PHYSICIANS PRIVATE OFFICES","78630","67777","10853","154100","2435","180401","9020", , , , , , ,"180401", ,"67777", 
 ,"192","PHYSICIANS PRIVATE OFFICES","1658236","1531413","126823","177200","718","61168","3058", , , , , , ,"61168","65655","1597068", 
 ,"192","PHYSICIANS PRIVATE OFFICES","326686","220513","106173","177200","494","42085","2104", , , , , , ,"42085","64088","284601", 
 ,"90","CLINIC - MYERS PARK","1653723","568534","1085189","177200","3787","322623","16131", , , , , , ,"322623","762566","1331100", 
 ,"90","CLINIC - MYERS PARK","3313094","2588602","724492","177200","3233","275427","13771", , , , , , ,"275427","449065","3037667", 
 ,"50","BONE MARROW TRANSPLANT","619174","390607","228567","140600","1277","86320","4316", , , , , , ,"86320","142247","532854", 
 ,"90","PEDIATRIC AFTER HOURS CLINIC","18835","18835", ,"140600", , , , , , , , , , , ,"18835", 
 ,"90","PEDIATRIC ONCOLOGY","1919350","1258246","661104","140600","4639","313578","15679", , , , , , ,"313578","347526","1605772", 
 ,"30","ADULTS & PEDIATRICS","1824645","1449117","375528","140600","4466","301884","15094", , , , , , ,"301884","73644","1522761", 
 ,"34","PEDIATRIC INTENSIVE CARE UNIT","3392995","2106693","1286302","140600","9005","608703","30435", , , , , , ,"608703","677599","2784292", 
 ,"90","CMC ORTHOPEDICS","1421591","894734","526857","140600","2230","150739","7537", , , , , , ,"150739","376118","1270852", 
 ,"65","RESPIRATORY THERAPY","1481","1481", ,"177200", , , , , , , , , , , ,"1481", 
 ,"90","WOMENS INSTITUTE","2090708","1540979","549729","196400","2132","201310","10066", , , , , , ,"201310","348419","1889398", 
 ,"90","CLINIC - ONCOLOGY","3455387","2125579","1329808","208000","7602","760200","38010", , , , , , ,"760200","569608","2695187", 
 ,"90","CLINIC - MYERS PARK","6618894","1814736","4804158","208000","18961","1896100","94805", , , , , , ,"1896100","2908058","4722794", 
 ,"90","TEEN HEALTH CONNECTION","407301","200294","207007","140600","3046","205898","10295", , , , , , ,"205898","1109","201403", 
 ,"90","CMC SURGERY","4151851","3402936","748915","208000","3178","317800","15890", , , , , , ,"317800","431115","3834051", 
 ,"192","PHYSICIANS PRIVATE OFFICES","1604775","852659","752116","196400","2440","230392","11520", , , , , , ,"230392","521724","1374383", 
 ,"90","CLINIC - MYERS PARK","1833176","1030690","802486","177200","3325","283264","14163", , , , , , ,"283264","519222","1549912", 
 ,"53","ANESTHESIOLOGY","532709", ,"532709","200300","1727","166307","8315", , , , , , ,"166307","366402","366402", 
 ,"23","PARAMED CRNA","61973", ,"61973","200300","201","19356","968", , , , , , ,"19356","42617","42617", 
 ,"60","LABORATORY","275938", ,"275938","215700","634","65747","3287", , , , , , ,"65747","210191","210191", 
 ,"55","RADIOLOGY-THERAPEUTIC","34917", ,"34917","225300","2782","301339","15067", , , , , , ,"301339", , , 
 ,"54","RADIOLOGY-DIAGNOSTIC","128601", ,"128601","225300","1957","211977","10599", , , , , , ,"211977", , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
